index,input,xml_node_count,xml_tags,action_condition_names,has_navigation,has_recovery,has_operation,has_recovery_node,has_pick_place,parse_error
0,"The behavior tree orchestrates the navigation of a robot by periodically replanning its global path at a frequency of 1 Hz. It utilizes a pipeline sequence, where it first computes a path to a specified goal using a ""GridBased"" planner and then follows this computed path using a designated controller. This approach ensures that the robot continuously updates its path to adapt to dynamic environments or changing conditions, enabling it to navigate effectively towards its goal while avoiding obstacles or other potential disruptions.",6,BehaviorTree;ComputePathToPose;FollowPath;PipelineSequence;RateController;root,ComputePathToPose;FollowPath,True,False,False,False,False,
1,"The behavior tree is designed to control a robot's navigation with continuous replanning of the global path. It uses a pipeline sequence that consists of two steps. First, it employs a distance controller to compute a new path to the goal pose using the ""GridBased"" planner whenever the robot has traveled 1 meter. Once the new path is computed, the robot follows this path using a specified controller. This approach ensures that the robot continuously updates its path to adapt to any changes in the environment or to optimize its trajectory.",6,BehaviorTree;ComputePathToPose;DistanceController;FollowPath;PipelineSequence;root,ComputePathToPose;FollowPath,True,False,False,False,False,
2,"The behavior tree is a simple sequential task for a robot. It first instructs the robot to move to a specific point (Go_point) and then to interact with a particular object (Go_object). The robot will execute these tasks in sequence, moving to the specified destination before interacting with the designated object.",5,BehaviorTree;Go_object;Go_point;Sequence;root,Go_object;Go_point,True,False,True,False,False,
3,"The behavior tree represents a robot's task. It begins by moving to a specific point (Go_point) and then proceeds to turn and move towards an object (Go_object). The SequenceStar node ensures that the sequence continues to loop, allowing the robot to repeatedly move to different points and objects as required. This behavior tree is designed to enable the robot to navigate to various destinations and interact with different objects in a continuous loop.",7,BehaviorTree;Go_object;Go_point;Sequence;SequenceStar;Turn;root,Go_object;Go_point;Turn,True,False,True,False,False,
4,"The behavior tree represents a robot's navigation system. It first computes a path using the global planner (ComputePathToPose) and then runs two sub-branches in parallel. The first sub-branch involves following the computed path using the local planner, while the second sub-branch controls the rate at which new paths are computed by the global planner.

The goal for the global planner and the resulting path are stored on the blackboard. The rate at which the ComputePathToPose operation is invoked can be controlled with the hz parameter to the RateController node.

If the FollowPath operation returns SUCCESS or FAILURE, the parallel node will return this result due to the threshold of 1 set for the Parallel node.

Overall, the behavior tree orchestrates the navigation of the robot by computing paths, controlling their execution rates, and ensuring the robot follows the computed paths using the local planner.",8,BehaviorTree;ComputePathToPose;Fallback;FollowPath;GoalReached;RateController;Sequence;root,ComputePathToPose;FollowPath;GoalReached,True,False,False,False,False,
5,"The behavior tree represents the decision-making process for a robot. The robot is programmed to perform a series of tasks based on certain conditions and actions. 

Initially, it will attempt to follow a sequence of actions. If the room is known, it will check if the robot is in the room. If so, it will go to the room; otherwise, it will follow a human. If the room is not known, it will move on to another sequence of actions. Here, it will first check if a bottle is found. If found, it will try to grasp it. If the bottle is already grasped, it will proceed to compute the inverse pose and validate it. Based on the validation, it will either keep its arms ready for grasping or locate the bottle and then grasp it. If the inverse pose cannot be computed, it will set it as invalid and continue running. If none of these conditions are met, it will ask for help.

In summary, the behavior tree outlines the",60,Action;BehaviorTree;Condition;Fallback;Root;Sequence;TreeNodesModel;root,Ask_for_help;Bottle_found;Bottle_grasped;Bottle_located;Compute_inv_pose;Find_bottle;FollowHuman;Go_to_inv_pose;Go_to_room;Grasp_bottle;Inv_pose_computed;Inv_pose_valid;Keep_arms_for_grasp;Keep_running;Locate_bottle;Robot_at_inv_pose;Robot_in_room;Room_known;Set_inv_pose_not_valid,False,False,True,False,False,"not well-formed (invalid token): line 2, column 10"
6,"The behavior tree represents a robot's task to assist in serving a drink. The robot is programmed to perform a series of actions based on certain conditions. 

Initially, it will attempt to go to a known room. If the room is known, it will proceed to go to the room; otherwise, it will follow a human. Once in the room, it will find a bottle and fetch it. Subsequently, it will find a glass, fetch it, and then pour a drink into the glass.

If at any point the robot encounters difficulty or is unable to complete a task, it will ask for help. This behavior tree outlines the sequential steps the robot should take to accomplish its assigned task efficiently.",31,Action;BehaviorTree;Condition;Fallback;Root;Sequence;TreeNodesModel;root,Ask_for_help;Fetch_bottle;Fetch_glass;Find_bottle;Find_glass;Follow_human;Go_to_kitchen;Go_to_room;Pour_drink;Room_known,False,False,True,False,False,"not well-formed (invalid token): line 2, column 10"
7,"The behavior tree represents a sequence of actions for an AI agent. The agent is programmed to perform the following tasks in a reactive sequence: 
1. Check if it is holding an object at a specific location and state.
2. Move to a particular location with specified coordinates and orientation.
3. Place an object at a designated location and state.

This sequence indicates that the AI agent is designed to carry out a series of actions based on its current state and environment. It first checks if it is holding an object, then moves to a specific location, and finally places an object at another location. This behavior tree outlines the decision-making process and actions for the AI agent based on its perception and goals.",6,AIP_isAt;AIP_isHolding;AIP_isPlacedAt;BehaviorTree;ReactiveSequence;root,AIP_isAt;AIP_isHolding;AIP_isPlacedAt,True,False,True,False,True,
8,"The behavior tree represents a robotic system that continuously repeats a sequence to pursue goals. Within this sequence, it first attempts to pick up an item if it sees one (condition: SeeItem), and if it fails to find an item, it proceeds to place the item it is holding (condition: HoldingItem). This process continues indefinitely due to the num_cycles=""-1"" attribute in the Repeat node.

Additionally, there's an initialization behavior tree (Init) which simply prints ""Initialize"" when executed. The tree also includes various actions and conditions such as AlwaysRunning, GetItemPose, Trigger, and Print with specific functionalities.

In summary, the overall task of the behavior tree is to create a loop where the robot repeatedly attempts to pick up items it sees, and if unsuccessful, it places the item it is holding. It also includes an initialization step to print a message at the start.",26,Action;BehaviorTree;Condition;Fallback;Inverter;Repeat;Sequence;SubTree;TreeNodesModel;input_port;root,AlwaysRunning;GetItemPose;HoldingItem;Pick;Place;Print;SeeItem;Trigger;input_port,True,False,True,False,True,
9,"The behavior tree consists of a sequence of actions: ""go1"", ""AlwaysFailure"", and ""go2"". The ""AlwaysFailure"" action always fails, which means the subsequent action ""go2"" will never be executed. Therefore, the overall task described by this behavior tree is to execute ""go1"" and then terminate without executing ""go2"". Additionally, there are three available actions in the model: ""go1"", ""go2"", and ""go3"", but only ""go1"" and ""go2"" are utilized in the behavior tree.",10,Action;AlwaysFailure;BehaviorTree;Sequence;TreeNodesModel;root,go1;go2;go3,False,False,False,False,False,
